Title,Authors,Date,Publisher,Link,Abstract,What is the application?,Who is the user?,What age?,Why use AI?,Study design
A Comprehensive Review on Generative AI for Education,"Uday Mittal, Siva Sai, Vinay Chamola, Devika Sangwan",09/2024,IEEE,https://ieeexplore.ieee.org/document/10695056,"Artificial Intelligence (AI) has immense potential for personalized learning experiences, content generation, and vivid educational support. This paper delves into generative AI (GAI) and its potential applications within GAI, specifically mentioning generative adversarial networks (GANs). The article delves into the transformative impact of GAI in education, underscoring its expertise in creating diverse instructional materials, from texts and images to videos. Adaptive learning, one of the chief abilities of GAI, has been highlighted, emphasizing its capability to select content customized to individual student profiles, learning habits, and preferences. The paper further explores the fusion of GAI with innovative education systems, highlighting how these models can mimic conversational interfaces, promoting an engaging, customized learning journey. The exploration doesn’t stop at the benefits; it delves into challenges like ensuring data privacy, mitigating biases, and ensuring accountability in AI-driven educational systems. The conclusion contemplates the potential limitations and assurances of embedding GAI within educational setups. An appeal has been made for more profound research and enhancement of AI’s educational function. The intersection of pedagogical insights and effective human-AI collaboration is pivotal in this journey. This paper serves as a compass, guiding educators, researchers, and policymakers toward harnessing GAI’s potential to sculpt enriched, immersive educational landscapes.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools, Organizing, Analyzing","Student, Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Literacy, Outcomes – Numeracy, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Social Emotional, Outcomes – Durable Skills, Reimagined Schooling",Systematic Review
A Digital Recommendation System for Personalized Learning to Enhance Online Education: A Review,"Dhananjaya. G. M., R. H. Goudar, Anjanabhargavi A. Kulkarni, Vijayalaxmi N. Rathod, Geetabai S. Hukkeri",02/2024,IEEE,https://ieeexplore.ieee.org/document/10445145,"This review delves into using e-learning technology and personalized recommendation systems in education. It examines 60 articles from prominent databases and identifies the different methods used in recommendation systems, such as collaborative and content-based approaches with a recent shift towards machine learning. However, the current personalized recommendation system faces challenges such as a lack of understanding of the content, student discontinuity, language barriers, confusion in selecting study materials, and inadequate infrastructure and funding. The review proposes using new digital technologies to address these issues, including Fluxy AI, Twin technology, AI-powered virtual proctoring, and Alter Ego. These technologies can create a dynamic and interactive learning environment, providing tailored learning experiences for students and insights for educators to provide targeted support and guidance. The integration of these technologies can improve individualized learning, increase understanding capacity and enhance the learning experience for students with speech disorders.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support, Analyzing","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Differentiation",Systematic Review
A Framework for Responsible AI Education: A Working Paper,"Caitlin Bentley, Christine Aicardi, Sammia Poveda, Leonardo Magela Cunha, David Kohan Marzagao, Richard Glover, Eryn Rigley, Simon Walker, Martin Compton, Oguz A Acar",08/2023,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4544010,"With the emergence of generative AI, and its disruption within education, debates have been preoccupied with technocentric problems and deployment issues. This focus often overshadows the broader questions about crafting a responsible educational vision in an AI-dominated world. While generative AI may offer transformative potential for education, it also comes with challenges, from biases to facilitating academic dishonesty. However, focusing solely on these challenges diverts attention from deeper reflections on the wider implications of AI for education and society. This paper explores the current debates around generative AI within education, the need for a broader perspective on AI's role in this domain, and outlines areas for which further investigation is needed. It also proposes a framework for AI education emphasising a responsible approach.","Teaching – Instructional Materials, Teaching – Professional Learning, Learning – Student Support, Analyzing","Student, Educator, School Leader","High School (9-12), Post-Secondary","Outcomes – Differentiation, Outcomes – Durable Skills, Reimagined Schooling, Other","Descriptive – Implementation and Use, Systematic Review"
A Perspective on K-12 AI Education,"Nathan Wang, Paul Tonko, Nikil Ragav, Michael Chungyoun, Jonathan Plucker",01/2023,arXiv,https://arxiv.org/abs/2206.03217,"Artificial intelligence (AI), which enables machines to learn to perform a task by training on diverse datasets, is one of the most revolutionary developments in scientific history. Although AI and especially deep learning is relatively new, it has already had transformative impact on medicine, biology, transportation, entertainment, and beyond. As AI changes our daily lives at an increasingly fast pace, we are challenged with preparing our society for an AI-driven future. To this end, a critical step is to ensure an AI-ready workforce through education. Advocates of beginning instruction of AI basics at the K-12 level typically note benefits to the workforce, economy, and national security. In this complementary perspective, we discuss why learning AI is beneficial for motivating students and promoting creative thinking, and how to develop a module-based approach that optimizes learning outcomes. We hope to excite and engage more members of the education community to join the effort to advance K-12 AI education in the USA and worldwide.","Teaching – Instructional Materials, Teaching – Professional Learning","Educator, School Leader",High School (9-12),"Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Durable Skills, Reimagined Schooling",Descriptive – Product Development
A Review of Artificial Intelligence (AI) in Education during the Digital Era,"Pongsakorn Limna, Somporch Jakwatanatham, Sutithep Siripipattanakul, Pichart Kaewpuang, Patcharavadee Sriboonruang",07/2022,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4160798,"Objective: Artificial intelligence (AI) plays a critical role in education. This paper aims to review the artificial intelligence adoption in learning and teaching during the digital era.Method: A narrative synthesis and a systematic literature review were conducted in this review article. The literature and information were obtained from various books and research articles on EBSCO, Google Scholar, Scopus, Web of Science, and ScienceDirect. The inclusion criteria were studies that clearly defined artificial intelligence in the education sector, were published and written in English and were peer-reviewed. Five independent reviewers assessed search results, extracted data, and set the studies’ quality to summarise and report the findings.Result: Artificial intelligence has already entered the education sector. Implementing artificial intelligence is a strategic and critical factor in educational development. Furthermore, artificial intelligence is increasingly being used as a digital assistant. They assist teachers and students in various ways, including giving students access to a wide range of learning materials based on their specific learning needs and subjects. However, some risks are associated with artificial intelligence advancements, such as safety, security, and privacy concerns. As a result, artificial intelligence technologies positively and negatively affect the education sector.Conclusion: Artificial intelligence technologies have positive and negative effects on education. Thus, it is critical to prioritise artificial intelligence in education and implement appropriate strategies to meet teachers' and students' needs and expectations through AI technologies. As a result, academic performance will be excellent.Recommendation & Implication: Qualitative research, such as interviews, or quantitative analysis, such as online questionnaires, may be developed in the future to provide more explanations and explicit findings. The implications could be applied to school administrators, teachers, and students to understand better and implement appropriate strategies to improve educational performance through AI.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support","Student, Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation",Systematic Review
A Systematic Assessment of OpenAI o1-Preview for Higher Order Thinking in Education,"Ehsan Latif, Yifan Zhou, Shuchen Guo, Yizhu Gao, Lehong Shi, Matthew Nayaaba, Gyeonggeon Lee, Liang Zhang, Arne Bewersdorff, Luyang Fang, Xiantong Yang, Huaqin Zhao, Hanqi Jiang, Haoran Lu, Jiaxi Li, Jichao Yu, Weihang You, Zhengliang Liu, (eta.)",10/2024,arXiv,https://arxiv.org/abs/2410.21287,"As artificial intelligence (AI) continues to advance, it demonstrates capabilities comparable to human intelligence, with significant potential to transform education and workforce development. This study evaluates OpenAI o1-preview's ability to perform higher-order cognitive tasks across 14 dimensions, including critical thinking, systems thinking, computational thinking, design thinking, metacognition, data literacy, creative thinking, abstract reasoning, quantitative reasoning, logical reasoning, analogical reasoning, and scientific reasoning. We used validated instruments like the Ennis-Weir Critical Thinking Essay Test and the Biological Systems Thinking Test to compare the o1-preview's performance with human performance systematically. Our findings reveal that o1-preview outperforms humans in most categories, achieving 150% better results in systems thinking, computational thinking, data literacy, creative thinking, scientific reasoning, and abstract reasoning. However, compared to humans, it underperforms by around 25% in logical reasoning, critical thinking, and quantitative reasoning. In analogical reasoning, both o1-preview and humans achieved perfect scores. Despite these strengths, the o1-preview shows limitations in abstract reasoning, where human psychology students outperform it, highlighting the continued importance of human oversight in tasks requiring high-level abstraction. These results have significant educational implications, suggesting a shift toward developing human skills that complement AI, such as creativity, abstract reasoning, and critical thinking. This study emphasizes the transformative potential of AI in education and calls for a recalibration of educational goals, teaching methods, and curricula to align with an AI-driven world.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support",Educator,"Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary","Outcomes – Other Academic, Outcomes – Durable Skills",Systematic Review
AI Agents and Education: Simulated Practice at Scale,"Ethan Mollick, Lilach Mollick, Natalie Bach, LJ Ciccarelli, Ben Przystanski, Daniel Ravipinto",06/2024,arXiv,https://arxiv.org/abs/2407.12796,"This paper explores the potential of generative AI in creating adaptive educational simulations. By leveraging a system of multiple AI agents, simulations can provide personalized learning experiences, offering students the opportunity to practice skills in scenarios with AI-generated mentors, role-players, and instructor-facing evaluators. We describe a prototype, PitchQuest, a venture capital pitching simulator that showcases the capabilities of AI in delivering instruction, facilitating practice, and providing tailored feedback. The paper discusses the pedagogy behind the simulation, the technology powering it, and the ethical considerations in using AI for education. While acknowledging the limitations and need for rigorous testing, we propose that generative AI can significantly lower the barriers to creating effective, engaging simulations, opening up new possibilities for experiential learning at scale.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning","Student, Educator","High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Differentiation, Reimagined Schooling",Descriptive – Product Development
AI and personalized learning: Bridging the gap with modern educational goals,"Kristjan-Julius Laak, Jaan Aru",04/2024,arXiv,https://arxiv.org/abs/2404.02798,"Personalized learning (PL) aspires to provide an alternative to the one-size-fits-all approach in education. Technology-based PL solutions have shown notable effectiveness in enhancing learning performance. However, their alignment with the broader goals of modern education is inconsistent across technologies and research areas. In this paper, we examine the characteristics of AI-driven PL solutions in light of the OECD Learning Compass 2030 goals. Our analysis indicates a gap between the objectives of modern education and the current direction of PL. We identify areas where most present-day PL technologies could better embrace essential elements of contemporary education, such as collaboration, cognitive engagement, and the development of general competencies. While the present PL solutions are instrumental in aiding learning processes, the PL envisioned by educational experts extends beyond simple technological tools and requires a holistic change in the educational system. Finally, we explore the potential of large language models, such as ChatGPT, and propose a hybrid model that blends artificial intelligence with a collaborative, teacher-facilitated approach to personalized learning.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools",Educator,"Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Social Emotional, Outcomes – Durable Skills",Systematic Review
AI literacy in K-12: a systematic literature review,"Casal-Otero, Catala, Fernandez-Morante, Taboada, Cebreiro, Barro",04/2023,SpringerOpen,https://stemeducationjournal.springeropen.com/articles/10.1186/s40594-023-00418-7,"The successful irruption of AI-based technology in our daily lives has led to a growing educational, social, and political interest in training citizens in AI. Education systems now need to train students at the K-12 level to live in a society where they must interact with AI. Thus, AI literacy is a pedagogical and cognitive challenge at the K-12 level. This study aimed to understand how AI is being integrated into K-12 education worldwide. We conducted a search process following the systematic literature review method using Scopus. 179 documents were reviewed, and two broad groups of AI literacy approaches were identified, namely learning experience and theoretical perspective. The first group covered experiences in learning technical, conceptual and applied skills in a particular domain of interest. The second group revealed that significant efforts are being made to design models that frame AI literacy proposals. There were hardly any experiences that assessed whether students understood AI concepts after the learning experience. Little attention has been paid to the undesirable consequences of an indiscriminate and insufficiently thought-out application of AI. A competency framework is required to guide the didactic proposals designed by educational institutions and define a curriculum reflecting the sequence and academic continuity, which should be modular, personalized and adjusted to the conditions of the schools. Finally, AI literacy can be leveraged to enhance the learning of disciplinary core subjects by integrating AI into the teaching process of those subjects, provided the curriculum is co-designed with teachers.","Teaching – Instructional Materials, Teaching – Professional Learning, Analyzing","Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12)","Outcomes – Other Academic, Outcomes – Durable Skills, Reimagined Schooling",Systematic Review
AI-Based Learning Style Prediction in Online Learning for Primary Education,"Bens Pardamean, Teddy Suparyanto, Tjeng Wawan Cenggoro, Digdo Sudigyo, Andri Anugrahana",03/2022,IEEE,https://ieeexplore.ieee.org/document/9737111,"Online learning has been widely applied due to developments in information technology. However, there are fewer relevant evaluations and applications for primary school students. All innovation efforts in learning are directed at improving the quality of education by creating an active learning atmosphere for students. Students’ participation in the teaching-learning process can be improved by selecting appropriate learning materials suitable to the student’s learning style. The research aims to develop and measure the impact of an Artificial-Intelligence (AI)-based learning style prediction model in an online learning portal for primary school students. The subjects were recruited from Indonesian primary school students in grades 4 to 6. To fulfill the principle of personalized learning, the AI model in the online learning portal was designed to recommend learning materials that suit students’ learning styles. We formulated a new AI approach that enables collaborative filtering-based AI models to be driven by learning style prediction. With this AI algorithm, the online learning portal can provide material recommendations tailored specifically to the learning style of each student. The AI model performance test achieved satisfactory results, with an average RMSE (Root Mean Squared Error) of 0.9035 from a rating scale of 1 to 5. Moreover, students’ learning performance was improved based on the results of t-test analysis on 269 subjects between the pre-test and post-test scores.","Teaching – Instructional Materials, Learning – Student Support",Educator,Elementary (PK5),"Efficiency, Outcomes – Differentiation, Reimagined Schooling",Descriptive – Implementation and Use
